2018-08-24 13:55:21,044 [main] INFO  ? (?:?) - using logger: com.alibaba.dubbo.common.logger.log4j.Log4jLoggerAdapter
2018-08-24 13:55:22,538 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:200) -  [DUBBO] Load registry store file C:\Users\CDFAE1CC\.dubbo\dubbo-registry-dubbo-admin-192.168.78.10:2181.cache, data: {*/com.spawpaw.ssm.service.TestService:*=empty://192.168.56.1/com.spawpaw.ssm.service.TestService?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=com.spawpaw.ssm.service.TestService&version=* empty://192.168.56.1/com.spawpaw.ssm.service.TestService?category=consumers&check=false&classifier=*&enabled=*&group=*&interface=com.spawpaw.ssm.service.TestService&version=* empty://192.168.56.1/com.spawpaw.ssm.service.TestService?category=routers&check=false&classifier=*&enabled=*&group=*&interface=com.spawpaw.ssm.service.TestService&version=* empty://192.168.56.1/com.spawpaw.ssm.service.TestService?category=configurators&check=false&classifier=*&enabled=*&group=*&interface=com.spawpaw.ssm.service.TestService&version=* dubbo://192.168.56.1:20880/com.spawpaw.ssm.service.TestService?anyhost=true&application=dubbo-providor-01&dubbo=2.6.1&generic=false&interface=com.spawpaw.ssm.service.TestService&methods=*&pid=8340&side=provider&timestamp=1534846838039}, dubbo version: 2.6.2, current host: 192.168.56.1
2018-08-24 13:55:31,771 [localhost-startStop-1] INFO  com.alibaba.dubbo.config.ReferenceConfig (ReferenceConfig.java:425) -  [DUBBO] Refer dubbo service com.alibaba.dubbo.registry.RegistryService from url zookeeper://192.168.78.10:2181/com.alibaba.dubbo.registry.RegistryService?application=dubbo-admin&dubbo=2.6.2&pid=11492&refer=application%3Ddubbo-admin%26check%3Dfalse%26dubbo%3D2.6.2%26interface%3Dcom.alibaba.dubbo.registry.RegistryService%26methods%3Dlookup%2Csubscribe%2Cunsubscribe%2Cunregister%2Cregister%26pid%3D11492%26register.ip%3D192.168.56.1%26revision%3D2.6.2%26side%3Dconsumer%26timestamp%3D1535090122481&timestamp=1535090122510, dubbo version: 2.6.2, current host: 192.168.56.1
2018-08-24 13:55:31,790 [localhost-startStop-1] INFO  com.alibaba.dubboadmin.governance.sync.RegistryServerSync (RegistryServerSync.java:78) -  [DUBBO] Init Dubbo Admin Sync Cache..., dubbo version: 2.6.2, current host: 192.168.56.1
2018-08-24 13:55:31,793 [localhost-startStop-1] INFO  com.alibaba.dubbo.registry.support.AbstractRegistry (AbstractRegistry.java:298) -  [DUBBO] Subscribe: admin://192.168.56.1?category=providers,consumers,routers,configurators&check=false&classifier=*&enabled=*&group=*&interface=*&version=*, dubbo version: 2.6.2, current host: 192.168.56.1
2018-08-24 13:55:33,282 [main] INFO  com.alibaba.dubboadmin.SpringUtil (SpringUtil.java:33) -  [DUBBO] set applicationcontext, dubbo version: 2.6.2, current host: 192.168.56.1
2018-08-24 13:55:35,229 [http-nio-7001-exec-2] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /governance/services, dubbo version: 2.6.2, current host: 192.168.56.1
2018-08-24 13:55:35,620 [http-nio-7001-exec-3] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /favicon.ico, dubbo version: 2.6.2, current host: 192.168.56.1
2018-08-24 13:55:36,267 [http-nio-7001-exec-1] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /governance/services, dubbo version: 2.6.2, current host: 192.168.56.1
2018-08-24 13:55:36,482 [http-nio-7001-exec-4] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /favicon.ico, dubbo version: 2.6.2, current host: 192.168.56.1
2018-08-24 13:55:36,972 [http-nio-7001-exec-6] INFO  com.alibaba.dubboadmin.filter.LoginFilter (LoginFilter.java:93) -  [DUBBO] AuthorizationValve of uri: /governance/services, dubbo version: 2.6.2, current host: 192.168.56.1
